banglore,chennai,delhi,faridabad,ghaziabad,gurgaon,hyderabad,mumbai,noida,pune,Don't Know,East,North,North-East,North-West,South,South-East,South-West,West,Borewell,Both,Corporation,Apartment,Gated Community,Independent Floor/builder Floor,Independent House/villa,Furnishing,Bathroom,Security,BHK,Parking,Age_Building,Balcony,Price_per_sqft,Area_transform,Rent_transform
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,4,1,3,3,3,2,24.381095273818456,7.888334500738654,254.95097567963924
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,1,4,3,4,2,20.47244094488189,8.063062911326792,254.95097567963924
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,5,1,4,3,3,3,16.150740242261104,8.220133957151859,244.94897427831782
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,3,3,3,4,26.08695652173913,7.7406644019172415,244.94897427831782
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,4,3,1,4,23.086269744835967,7.81156848934518,238.74672772626644
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,1,4,3,2,5,17.333333333333332,8.006367567650246,228.0350850198276
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,2,1,24.75,7.600902459542082,222.48595461286988
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,3,3,1,2,28.210857142857144,7.4673710669175595,222.19135896789507
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,1,4,3,2,2,16.0,8.006367567650246,219.08902300206645
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,5,1,4,3,2,1,21.73913043478261,7.635303886259415,212.13203435596427
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,1,3,26.08695652173913,7.45298232946546,212.13203435596427
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,1,3,3,5,1,26.54320987654321,7.3901814282264295,207.3644135332772
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,2,3,17.420157610949815,7.787796878181171,204.93901531919198
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,3,3,4,1,26.582278481012658,7.365180126021013,204.93901531919198
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,4,1,3,3,2,2,22.950819672131146,7.512071245835466,204.93901531919198
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,4,3,3,1,17.647058823529413,7.77485576666552,204.93901531919198
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,4,3,4,2,14.0,8.006367567650246,204.93901531919198
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,1,3,17.77777777777778,7.718685495198466,200.0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,1,3,3,2,3,22.22222222222222,7.495541943884256,200.0
